representation,parent_records,parent_mixed_cells,sample_size,trials,exact_false_resolution_probability,monte_carlo_false_resolution_rate,monte_carlo_cbc_failure_rate
v1,1762,9,25,5000,0.9937398573196611,0.9946,1.0
v1,1762,9,50,5000,0.9758103544445587,0.9692,1.0
v1,1762,9,100,5000,0.9128898720747425,0.9158,1.0
v1,1762,9,200,5000,0.7254476391678912,0.71,1.0
v1,1762,9,400,5000,0.33965517689860747,0.339,1.0
v1,1762,9,800,5000,0.024353657317504215,0.0238,1.0
v1,1762,9,1200,5000,0.00020866867970910808,0.0004,0.9892
v1,1762,9,1500,5000,1.737305191756126e-07,0.0,0.853
v2,1762,0,25,5000,0.0,0.0,0.0
v2,1762,0,50,5000,0.0,0.0,0.0
v2,1762,0,100,5000,0.0,0.0,0.0
v2,1762,0,200,5000,0.0,0.0,0.0
v2,1762,0,400,5000,0.0,0.0,0.0
v2,1762,0,800,5000,0.0,0.0,0.0
v2,1762,0,1200,5000,0.0,0.0,0.0
v2,1762,0,1500,5000,0.0,0.0,0.0
full,1762,0,25,5000,0.0,0.0,0.0
full,1762,0,50,5000,0.0,0.0,0.0
full,1762,0,100,5000,0.0,0.0,0.0
full,1762,0,200,5000,0.0,0.0,0.0
full,1762,0,400,5000,0.0,0.0,0.0
full,1762,0,800,5000,0.0,0.0,0.0
full,1762,0,1200,5000,0.0,0.0,0.0
full,1762,0,1500,5000,0.0,0.0,0.0
